P,R1,R2,R3,R4,RC
"Un planeta X tiene el doble de masa que la Tierra y su radio es la mitad del radio terrestre. Si la fuerza gravitacional en la Tierra es F, ¿cuál será la fuerza gravitacional en el planeta X en términos de F?",a) F/8,b) F/4,c) F/2,d) 2F,4
Un objeto se mueve a lo largo de una superficie aplicando una fuerza de 20 N y desplazándose una distancia de 5 metros. ¿Cuánto trabajo se realiza sobre el objeto?,a) 5 J,b) 10 J,c) 20 J,d) 100 J,4
"Si una fuerza de 15 N actúa sobre un objeto, realizando un trabajo de 60 J, ¿cuáles la distancia recorrida por el objeto?",a) 2 m,b) 4 m,c) 15 m,d) 75 m,2
¿Cuál es la fórmula correcta para calcular la energía cinética (Ek) de un objeto enmovimiento con una masa (m) y una velocidad (v)?,a) Ek = m * v,b) Ek = m + v,c) Ek = 1/2 * m * v^2,d) Ek = m / v^2,3
Un automóvil con una masa de 1000 kg se mueve a una velocidad de 30 m/s. ¿Cuáles su energía cinética?,a) 300 J,b) 1500 J,c) 45000 J,d) 225000 J,3
¿Cuál de las siguientes afirmaciones sobre la energía cinética es correcta?,a) La energía cinética depende únicamente de la velocidad del objeto y no de su masa.,b) La energía cinética se conserva en todas las colisiones entre objetos.,c) La energía cinética es una forma de energía potencial almacenada en un objeto.,d) La energía cinética se calcula multiplicando la mitad de la masa del objeto por el cuadrado de su velocidad.,4
"¿Cuál de las siguientes opciones describe mejor la energía potencial gravitacional de un objeto en función de su masa (m), la aceleración debido a la gravedad (g) y su altura (h)?",a) Ep = m * g * h,b) Ep = m / g * h,c) Ep = m + g + h,,1
Un objeto de 5 kg se eleva verticalmente a una altura de 10 metros. ¿Cuál es su energía potencial gravitacional con respecto al suelo? (Utiliza g=9.8m/s2),a) 50 J,b) 100 J,c) 250 J,d) 490 J,4
"Un objeto se lanza verticalmente hacia arriba desde el suelo. Considerando que no hay resistencia del aire, ¿qué sucede con la energía mecánica del objeto durante su ascenso?",a) La energía mecánica disminuye debido al aumento de la energía cinética.,b) La energía mecánica disminuye debido al aumento de la energía potencialgravitacional.,c) La energía mecánica permanece constante porque se conserva.,d) La energía mecánica aumenta debido a la fricción con el aire.,3
¿Cuál es la fórmula correcta para convertir una temperatura en grados Kelvin (K) agrados Celsius (°C)?,a) °C = K + 273,b) °C = K - 273,c) K = °C + 273,d) K = °C - 273,2
"Pregunta: Si la temperatura es de 300 Kelvin, ¿cuál es su equivalente en grados Celsius?",a) 27 °C,b) 27 K,c) 27 °C,d) 300 °C,1
Pregunta: Un laboratorio registra una temperatura de 400 grados Kelvin. ¿Cuál es su equivalente en grados Celsius?,a) 127 °C,b) 127 K,c) 400 °C,d) 127 °C,1
¿Cuál es la fórmula correcta para convertir una temperatura en grados Celsius(°C)a grados Fahrenheit (°F)?,a) °F = (°C + 32) / 1.8,b) °F = °C - 32,c) °F = °C * 1.8 + 32,d) °F = °C / 1.8 - 32,3
"Si la temperatura es de 25 grados Celsius, ¿cuál es su equivalente en grados Fahrenheit?",a) 32 °F,b) 68 °F,c) 77 °F,d) 82 °F,3
Un termómetro muestra una temperatura de -10 grados Celsius. ¿Cuál es su equivalente en grados Fahrenheit?,a) 14 °F,b) 22 °F,c) 50 °F,d) -50 °F,1
¿Cuál es el proceso de transferencia de calor que se produce mediante la transferencia de energía térmica entre partículas de un objeto sin que haya movimiento macroscópico de la sustancia?,a) Conducción,b) Convección,c) Radiación,,1
"Un cubo de metal se calienta en un extremo. Con el tiempo, la temperatura del cubo se vuelve uniforme en todo su interior debido a la transferencia de calor. ¿Qué proceso de propagación del calor describe esta situación?",a) Conducción,b) Convección,c) Radiación,,1
¿Cuál de las siguientes afirmaciones es cierta sobre la propagación del calor?,a) La convección es un proceso de transferencia de calor que ocurre solo en sólidos.,b) La radiación es el proceso de propagación del calor que requiere un medio material para transmitirse.,c) La conducción es el proceso de transferencia de calor que ocurre solo en gases.,"d) La radiación térmica puede propagarse a través del vacío, ya que no requiere un medio material.",4
¿Cuál de las siguientes opciones describe mejor un sistema termodinámico cerrado?,a) Un sistema que no intercambia energía ni materia con su entorno.,"b) Un sistema que permite el intercambio de energía, pero no de materia con su entorno.","c) Un sistema que permite el intercambio de materia, pero no de energía con su entorno.",d) Un sistema que intercambia energía y materia con su entorno.,2
¿Cuál de las siguientes afirmaciones es cierta sobre un sistema termodinámicoaislado?,a) Un sistema aislado no intercambia energía ni masa con su entorno.,"b) Un sistema aislado solo intercambia energía, pero no masa con su entorno.",c) Un sistema aislado permite el intercambio libre de energía y masa con su entorno.,"d) Un sistema aislado no existe en la termodinámica, ya que siempre hay interacciones con el entorno.",1
Un cilindro con gas ideal experimenta un proceso adiabático en el que no hay transferencia neta de calor. ¿Qué puede decirse sobre el cambio de energía interna (ΔU) del sistema durante este proceso?,"a) ΔU es positivo, ya que el sistema ganó energía interna.","b) ΔU es negativo, ya que el sistema perdió energía interna.","c) ΔU es cero, ya que no hubo transferencia neta de calor en el proceso adiabático.","d) ΔU puede ser positivo, negativo o cero, dependiendo de la cantidad de calor transferida.",3
Un sistema experimenta un proceso en el que se le suministra una cantidad de calor de 200 J y realiza un trabajo de 150 J. ¿Cuál es el cambio en la energía interna (ΔU) del sistema durante este proceso?,"a) ΔU es 50 J, ya que es la diferencia entre el calor suministrado y el trabajo realizado.","b) ΔU es -350 J, ya que el sistema perdió energía interna.","c) ΔU es 350 J, ya que el sistema ganó energía interna.","d) ΔU es cero, ya que la cantidad de calor suministrada es igual al trabajo realizado.",1
"Según la Segunda Ley de la Termodinámica, ¿cuál de los siguientes enunciados escorrecto?",a) La entropía de un sistema aislado siempre disminuye.,b) La energía de un sistema aislado siempre aumenta.,c) La entropía de un sistema aislado siempre aumenta o permanece constante.,d) La energía de un sistema aislado siempre disminuye o permanece constante.,3
¿Cuál de las siguientes situaciones viola la Segunda Ley de la Termodinámica?,a) Un bloque de hielo se derrite en un ambiente caliente y la entropía del sistema aumenta.,b) Un gas se expande libremente en un ambiente sin fricción y su temperatura disminuye.,c) Un vaso de agua caliente se enfría hasta alcanzar la temperatura ambiente y la entropía del sistema disminuye.,d) Un objeto frío en contacto con un objeto caliente absorbe el calor y la entropía del sistema permanece constante.,4
"Según la Tercera Ley de la Termodinámica, ¿cuál es la temperatura a la cual un sistema alcanza un valor de entropía de cero?",a) 0°C,b) 0 K,c) -273°C,d) -273 K,2
¿Cuál de las siguientes situaciones no se puede lograr en la práctica debido a la Tercera Ley de la Termodinámica?,a) Enfriar una muestra de gas ideal hasta alcanzar una temperatura de 0 K.,b) Obtener un material que tenga entropía cero a una temperatura finita.,c) Calentar un objeto hasta que su temperatura sea infinita.,d) Llegar al cero absoluto (-273.15°C) en un proceso de enfriamiento continuo.,2
"Un trozo de hierro de 200 g se calienta con 1500 J de energía, y su temperatura aumenta en 50°C. ¿Cuál es el calor específico del hierro?",a) 0.2 J/(g°C),b) 0.3 J/(g°C),c) 0.15 J/(g°C),,3
"Una muestra de agua absorbe 5000 J de calor y su temperatura aumenta en 20°C.Si la masa de agua es de 500 g, ¿cuál es la capacidad calorífica del agua?",a) 20 J/°C,b) 100 J/°C,c) 250 J/°C,d) 500 J/°C,3
"Un bloque de aluminio de 300 g y otro de cobre de 400 g, ambos a la misma temperatura, reciben la misma cantidad de calor durante un tiempo igual. Si la temperatura del bloque de aluminio aumenta en 15°C y la del bloque de cobre aumenta en 20°C, ¿cuál de los dos tiene mayor capacidad calorífica?",a) El bloque de aluminio.,b) El bloque de cobre.,c) Ambos tienen la misma capacidad calorífica.,d) No es posible determinar la capacidad calorífica con la información proporcionada.,1
"Dos cargas eléctricas puntuales se encuentran a una distancia de 2 metros una dela otra. Si una carga es de +3 microculombios y la otra es de -5 microculombios, ¿cuál es la magnitud de la fuerza de atracción o repulsión entre ellas?",a) K 3.75 x10-12 N,b) K 5.78 X10-11 N,c) K 15 N,d) K 25 N,1
"Dos partículas con una carga de +2 microculombios están separadas por una distancia de 1 metro. Si la fuerza entre ellas es de 4 x 10^-3 N, ¿cuál sería la fuerza si la distancia se duplica?",a) K 10^-12 N,b) K 4 x 10^-3 N,c) K 8 x 10^-3 N,,1
¿Cuál es la definición correcta del campo eléctrico en un punto cercano a una cargapuntual?,a) El campo eléctrico es la fuerza eléctrica que ejerce la carga puntual sobre otra carga puntual cercana.,b) El campo eléctrico es la fuerza eléctrica por unidad de carga que una carga puntual ejerce sobre otra carga puntual cercana.,c) El campo eléctrico es la distancia entre dos cargas puntuales cercanas.,d) El campo eléctrico es la cantidad de carga eléctrica almacenada cerca de una carga puntual.,2
¿Cuál es la magnitud del campo eléctrico generado por una carga puntual de +8microculombios a una distancia de 2 metros de la carga?,a) K 2 x 10-6 N/C,b) K 4 x 10-6 N/C,c) K 8 x 10-6 N/C,d) K 16 x 10-6 N/C,1
